Name,Author,Year,Technique,Size 1,Size 2
Abrazo Materno,Alfredo Ramos Martinez,1942,tempera on newsprint,53.7,40.6
Al final del dia,Alfredo Ramos Martinez,1941,tempera on paper,61,48.3
Alfareros,Alfredo Ramos Martinez,1935,gouache and conte crayon on paper,58.4,72
Amantes,Alfredo Ramos Martinez,1939,tempera,45.7,55.9
Cabeza de un joven,Alfredo Ramos Martinez,1944,conte crayon and tempera on paper mounted on board,124.5,114.3
Camelia Blanca,Alfredo Ramos Martinez,1936,"gouache, watercolor, and chalk on newsprint",57.8,42.6
Cerca de Ixmiquilpan,Alfredo Ramos Martinez,1933,gouache and conte crayon on paper,53.7,70.2
Christus,Alfredo Ramos Martinez,1943,tempera on newsprint,54.6,41.3
Cordillera Mexicana,Alfredo Ramos Martinez,1934,tempera on paper,45.7,44.5
El compromiso,Alfredo Ramos Martinez,1930,pastel and charcoal on paper,60.3,76.2
El regreso de mercado,Alfredo Ramos Martinez,1940,tempera and charcoal on paper,67.3,51.1
Folklorico Mexicano,Alfredo Ramos Martinez,1937,tempera and conte crayon on newsprint on board,57.7,43.5
La india de los floripondios,Alfredo Ramos Martinez,1932,oil on canvas,76.2,61
Madre y nino,Alfredo Ramos Martinez,1945,tempera on newsprint,52.7,40
Mujer con taza,Alfredo Ramos Martinez,1938,tempera and charcoal on newsprint,48.3,37.5
Vendedora de Alcatraces,Alfredo Ramos Martinez,1929,oil on canvas,116.2,91.4
Aguadoras otomies,Diego Rivera,1955,oil on canvas,75.2,45
Alquerias,Diego Rivera,1914,oil on canvas,70,80
Apuntes de danzantes de Huejotzingo,Diego Rivera,1947,watercolor and graphite on paper,14,9.5
Arbol paisaje del pedregal,Diego Rivera,1937,watercolor and graphite on rice ,48.3,56
Autorretrato con Chambergo,Diego Rivera,1907,oil on canvas,84.5,61.5
Bailarina en reposo,Diego Rivera,1939,oil on canvas,164,94
Chinchorro en acapulco,Diego Rivera,1956,graphite and watercolor on paper,22.4,33.3
Composicion con busto,Diego Rivera,1916,oil on canvas,73.4,54.4
Cuchillo y fruta frente a la ventana,Diego Rivera,1917,oil on canvas,92.4,91.8
Danza al sol,Diego Rivera,1942,oil on masonite,122,196
Doctora mexicana,Diego Rivera,1950,oil on canvas,71,50
El balcon,Diego Rivera,1921,oil on canvas,82,115.5
El matematico,Diego Rivera,1919,oil on canvas,80.5,11.5
El puente de san martin,Diego Rivera,1913,oil on canvas,91,111
El rastro,Diego Rivera,1915,oil on canvas,27.5,38.5
En las afueras de toledo,Diego Rivera,1912,oil on canvas,211,185.2
Fiesta en tehuantepec,Diego Rivera,1948,watercolor and graphite on paper,14.3,9.2
Hombre con burro y olla,Diego Rivera,1941,watercolor on paper,38.7,27.3
Hombre martillando piedra,Diego Rivera,1944,watercolor and brush and ink on rice paper,37.7,27.9
La canoa enflorada,Diego Rivera,1931,oil on canvas,201.5,160
La moledora,Diego Rivera,1926,oil on canvas,117,90
La noche de los rabanos,Diego Rivera,1946,watercolor on paper,64.7,49.9
Las sandias,Diego Rivera,1957,oil on canvas,68.7,92.7
Manana en Avila,Diego Rivera,1908,oil on canvas,123,97
Mujer con gansos,Diego Rivera,1918,oil on canvas,62.5,81.5
